months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,auto_make,auto_model,auto_year,total_claim_amount
328,48,521585,OH,1000,1406.91,MALE,MD,craft-repair,sleeping,husband,25/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,Saab,92x,2004,71610
228,42,342868,IN,2000,1197.22,MALE,MD,machine-op-inspct,reading,other-relative,21/01/2015,Vehicle Theft,?,Minor Damage,Police,8,1,Mercedes,E400,2007,5070
134,29,687698,OH,2000,1413.14,FEMALE,PhD,sales,board-games,own-child,22/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,Dodge,RAM,2007,34650
256,41,227811,IL,2000,1415.74,FEMALE,PhD,armed-forces,board-games,unmarried,10/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,Chevrolet,Tahoe,2014,63400
228,44,367455,IL,1000,1583.91,MALE,Associate,sales,board-games,unmarried,17/02/2015,Vehicle Theft,?,Minor Damage,None,20,1,Accura,RSX,2009,6500
256,39,104594,OH,1000,1351.1,FEMALE,PhD,tech-support,bungie-jumping,unmarried,02/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,Saab,95,2003,64100
137,34,413978,IN,1000,1333.35,MALE,PhD,prof-specialty,board-games,husband,13/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,Nissan,Pathfinder,2012,78650
165,37,429027,IL,1000,1137.03,MALE,Associate,tech-support,base-jumping,unmarried,27/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,Audi,A5,2015,51590
27,33,485665,IL,500,1442.99,FEMALE,PhD,other-service,golf,own-child,30/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,Toyota,Camry,2012,27700
212,42,636550,IL,500,1315.68,MALE,PhD,priv-house-serv,camping,wife,05/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,Saab,92x,1996,42300
235,42,543610,OH,500,1253.12,FEMALE,Masters,exec-managerial,dancing,other-relative,06/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,Ford,F150,2002,87010
447,61,214618,OH,2000,1137.16,FEMALE,High School,exec-managerial,skydiving,other-relative,15/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,Audi,A3,2006,114920
60,23,842643,OH,500,1215.36,MALE,MD,protective-serv,reading,wife,22/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,Saab,95,2000,56520
121,34,626808,OH,1000,936.61,FEMALE,MD,armed-forces,bungie-jumping,wife,08/01/2015,Parked Car,?,Minor Damage,None,5,1,Toyota,Highlander,2010,7280
180,38,644081,OH,2000,1301.13,FEMALE,College,machine-op-inspct,board-games,not-in-family,15/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,Dodge,Neon,2003,46200
473,58,892874,IN,2000,1131.4,FEMALE,MD,transport-moving,movies,other-relative,29/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,Accura,MDX,1999,63120
70,26,558938,OH,1000,1199.44,MALE,College,machine-op-inspct,hiking,own-child,22/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,Nissan,Maxima,2012,52110
140,31,275265,IN,500,708.64,MALE,High School,machine-op-inspct,reading,unmarried,06/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,Suburu,Legacy,2015,77880
160,37,921202,OH,500,1374.22,FEMALE,MD,craft-repair,yachting,other-relative,19/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,Accura,TL,2015,72930
196,39,143972,IN,2000,1475.73,FEMALE,High School,handlers-cleaners,camping,own-child,22/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,Nissan,Pathfinder,2014,60400
460,62,183430,IN,1000,1187.96,MALE,JD,other-service,bungie-jumping,own-child,01/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,Suburu,Impreza,2011,47160
217,41,431876,IL,2000,875.15,FEMALE,Associate,machine-op-inspct,skydiving,own-child,10/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,Accura,RSX,1996,37840
370,55,285496,IL,2000,972.18,MALE,High School,prof-specialty,paintball,other-relative,11/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,Suburu,Forrestor,2000,71520
413,55,115399,IN,2000,1268.79,MALE,MD,priv-house-serv,chess,own-child,19/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,Dodge,RAM,2011,98160
237,40,736882,IN,1000,883.31,MALE,College,craft-repair,kayaking,husband,24/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,Ford,Escape,2005,77880
