Pregunta,Nombre de la variable
GUSTOS MUSICALES,
Disfruto escuchar música,Music
Prefiero: música tranquila → música movida,Slow songs or fast songs
"Dance, Disco, Funk",Dance
Música Folk,Folk
Country,Country
Música Clásica,Classical music
Musicales,Musical
Pop,Pop
Rock,Rock
"Metal, Hard rock",Metal or Hardrock
Punk,Punk
"Hip hop, Rap","Hiphop, Rap"
"Reggae, Ska","Reggae, Ska"
"Swing, Jazz","Swing, Jazz"
Rock n Roll,Rock n roll
Música Alternativa,Alternative
Música Latina,Latino
"Techno, Trance","Techno, Trance"
Opera,Opera
GUSTOS EN PELÍCULAS,
Disfruto mucho ver películas,Movies
Películas de terror,Horror
Thrillers,Thriller
Comedias,Comedy
Películas Románticas,Romantic
Películas de Ciencia Ficción,Sci-fi
Películas de Guerra,War
Películas de Fantasía,Fantasy/Fairy tales
Películas Animadas,Animated
Documentales,Documentary
Películas del Oeste,Western
Películas de Acción,Action
HOBBIES E INTERESES,
Historia,History
Psicología,Psychology
Política,Politics
Matemáticas,Mathematics
Física,Physics
Internet,Internet
"PC Software, Hardware",PC
"Economía, Administración",Economy Management
Biología,Biology
Química,Chemistry
Lectura de Poesía,Reading
Geografía,Geography
Idiomas,Foreign languages
Medicina,Medicine
Leyes,Law
Autos,Cars
Arte,Art exhibitions
Religión,Religion
Actividades al aire libre,"Countryside, outdoors"
Dancing,Dancing
Tocar instrumentos musicales,Musical instruments
Escribir Poesía,Writing
Deportes y actividades de esparcimiento,Passive sport
Deportes a un nivel competitivo,Active sport
Jardinaría,Gardening
Estilo de vida de celebridades,Celebrities
Compras,Shopping
Ciencia y tecnología,Science and technology
Teatro,Theatre
Socializar,Fun with friends
Deportes de adrenalina,Adrenaline sports
Mascotas,Pets
MIEDOS/FOBIAS,
Miedo a volar,Flying
Miedo a los rayos,Storm
Miedo a la oscuridad,Darkness
Miedo a las alturas,Heights
Miedo a las arañas,Spiders
Miedo a las serpientes,Snakes
Miedo a los ratones/ratas,Rats
Miedo a envejecer,Ageing
Miedo a los perros,Dangerous dogs
Miedo a hablar en público,Fear of public speaking
HABITOS DE SALUD,
Tipo de fumador,Smoking
Tipo de bebedor,Alcohol
Tengo un estilo de vida muy saludable,Healthy eating
PERSONALIDAD Y OPINIONES,
Pongo atención a lo que sucede a mi alrededor,Daily events
Trato de hacer las cosas tan pronto sea posible para no dejarlas al final,Prioritising workload
Siempre hago listas para no olvidarme de nada,Writing notes
Regularmente estudio o trabajo en mi tiempo libre,Workaholism
Analizo las cosas desde varios ángulos antes de tomar una decisión,Thinking ahead
Creo que las personas malas eventualmente serán castigadas y las buenas recompensadas,Final judgement
Soy confiable en el trabajo y siempre termino las tareas que se me asignan,Reliability
Siempre mantengo mis promesas,Keeping promises
Puedo enamorarme rápidamente de alguien y después perder el interés,Loss of interest
Preferiría tener muchos amigos que mucho dinero,Friends versus money
Siempre intento ser la persona más graciosa,Funniness
A veces puedo tener dos caras,Fake
He dañado cosas al enojarme,Criminal damage
Me tomo mi tiempo al tomar decisiones,Decision making
Siempre voto en las elecciones,Elections
Regularmente me arrepiento de decisiones que he tomado,Self-criticism
Puedo saber si una persona me está escuchando o no cuando hablo con ella,Judgment calls
Soy hipocondriaco,Hypochondria
Soy empático,Empathy
"Como porque debo hacerlo, no disfruto la comida y lo como muy rápido",Eating to survive
Trato dar tanto como sea posible en Navidad,Giving
No me gusta ver que los animales sufran,Compassion to animals
Cuido las cosas que me han prestado,Borrowed stuff
Se siento solo en la vida,Loneliness
Solía hacer copiar en la escuela,Cheating in school
Me preocupo por mi salud,Health
Desearía cambiar el pasado por cosas que he hecho,Changing the past
Creo en Dios,God
Siempre tengo sueños buenos,Dreams
Siempre dono a la caridad,Charity
Tengo muchos amigos,Number of friends
Soy puntual,Punctuality
Le miento a otros,Lying
Soy muy paciente,Waiting
Me puedo adaptar rápidamente a lo que me rodea,New environment
Mi estado de ánimo cambia rápidamente,Mood swings
Me considero una persona educada y cuido mi apariencia,Appearence and gestures
Disfruto conocer personas nuevas,Socializing
Le hago saber a otras personas mis logros,Achievements
Pienso con cuidado antes de responder un mail/mensaje importante,Responding to a serious letter
Disfruto la compañía de niños,Children
No me da miedo dar mi opinión,Assertiveness
Me enojo facilmente,Getting angry
Me aseguro de conectar con las personas adecuadas,Knowing the right people
Debo estar bien preparado antes de hablar en público,Public speaking
Me siento culpable si no le agrado a las personas,Unpopularity
Lloro cuando me siento triste o cuando las cosas no salen como esperaba,Life struggles
Estoy 100% feliz con mi vida,Happiness in life
Estoy lleno de vida y energía,Energy levels
Prefiero perros grandes que pequeños,Small - big dogs
Creo que mi personalidad es positiva,Personality
Si encuentro algo que no me pertenece lo devolveré,Finding lost valuables
Me es muy dificial despertar temprano,Getting up
Tengo muchos hobbies e intereses distintos,Interests or hobbies
Siempre escucho los consejos de mis padres,Parents' advice
Disfruto responder encuestas,Questionnaires or polls
¿Cuánto tiempo pasas en internet?,Internet usage
HABITOS FINANCIEROS,
Ahorro todo el dinero que pueda,Finances
Disfruto ir a grandes centros comerciales,Shopping centres
Prefiero ropa de marca,Branded clothing
Gasto mucho dinero en socializar/fiestas,Entertainment spending
Gasto mucho dinero en mi apariencia,Spending on looks
Gasto mucho dinero en gadgets,Spending on gadgets
No tengo problema en pagar más por comida saludable o de mejor calidad,Spending on healthy eating
DATOS DEMOGRÁFICOS,
Edad,Age
Estatura,Height
Peso,Weight
¿Cuántos hermanos tienes?,Number of siblings
Género,Gender
Soy surdo o derecho,Left - right handed
Mayor grado educativo alcanzado,Education
Soy hijo único,Only child
Lugar donde pasé la mayor parte de mi infancia:,Village - town
Tipo de vivienda donde vivía en mi infancia:,House - block of flats
